page,title,goal,comparison,why_test,status,scope,sources,file,kind,entry_ids,research_questions,success,fail,mixed,unresolved,method_checks,corrected
12,Adaptation changes effective independence,Measure dependence after the step sizes adapt.,Frozen vs learned step sizes in four model/data families,Test whether millions of coordinates behave independently.,good,"SGDm, steady half of 20-epoch runs. Frozen/free values are rounded in the source; box-free values have four decimals. Never label the fraction “percent signal.”","CORRECTIONS59,68; FINDINGS50.2; effective_independence_families",figures/page-12.png,finding,MT087; MT088; MT089; MT090; MT091; MT092,6,4,2,0,0,0,0
13,A fine-scale field pattern repeats,Locate a repeatable scale in marginal-sign structure.,"Observed blocks vs size-matched, within-tensor shuffles",Look for a structural guide to partition design.,good,"Convolution tensors only; p_i = negative_count_i / n_records. E is neither rho nor test accuracy. res_pp is the Monte Carlo SE of three permutation-null draws, not training-seed uncertainty. The existence of an interior maximum is mechanical; location is the finding. Four clean lower-edge peaks are bounds. The 33 analysis entries contain 32 unique runs. A freely adapting coarse-granularity field remains unmeasured.",results/c63_uladder.json; results/c67_ms_axis.json; CORRECTIONS95-96,figures/page-13.png,finding,MT093; MT094; MT095; MT096; MT097,5,1,2,2,0,0,0
14,Field structure did not predict the partition,Predict a useful partition from the measured field.,Field-peak scale vs the best training-accuracy region,Turn a measurement into a working optimization method.,bad,"Report separation at least log10(512) = 2.70927 decades. The best training region is from the corrected historical comparison, not a newly located joint optimum. Do not present the old 16/21 layerwise peaks as current: that table used legacy last-20 accuracy.",CORRECTIONS96.6-96.8; bridge_current,figures/page-14.png,finding,MT098,1,0,1,0,0,0,0
15,The measurement window changed the story,Compare training budgets using the same tail metric.,Last 20 epochs vs last 5 epochs in a 20-epoch run,Keep startup speed separate from endpoint accuracy.,audit,"Representative headline configuration: same cells, different window. Across four strata, resolved argmaxes fall from four to zero. Pooled counts 27/25/26 describe a separate stratified summary.",CORRECTIONS96.6; window_metric_error,figures/page-15.png,finding,MT108; MT109; MT110,0,0,0,0,0,3,3
16,Granularity still matters after tuning,Verify the accuracy gap after fair meta-step tuning.,Layerwise vs scalar; each at its best tested step,Rule out a poor shared meta-step as the whole explanation.,good,Three seeds per cell. At initial LR1e-6 the scalar optimum is unbracketed; no corresponding tuned claim.,campaign_evidence.cifar100_meta_step_control,figures/page-16.png,finding,MT149; MT157,2,0,1,1,0,0,0
17,Mechanism tests eliminated several accounts,Explain where the granularity gap comes from.,Head / sign dynamics / named drivers / reduction,Combine interventions with recorded training dynamics.,mixed,"hb1 / ctd1 / crn1  |  See MT137, MT156, MT159-MT161 for exact scope","hb1 / ctd1 / crn1  |  See MT137, MT156, MT159-MT161 for exact scope",figures/page-17.png,finding,MT137; MT156; MT159; MT160; MT161,5,0,3,1,1,0,0
18,One tensor boundary changes accuracy,Locate a useful two-group split.,Cut after tensor 49 vs cut after tensor 50,A sharp accuracy drop can nominate a target for intervention.,good,Within tested grid only. Parameter balance and carrier location confounded. No comparison across different budgets.,cut_position_evidence.batches.cpk3,figures/page-18.png,finding,MT141; MT142; MT145; MT146; MT147; MT148; MT150,7,4,1,2,0,0,0
19,A tiny subset rescues ResNet accuracy,Recover layerwise-level accuracy with two groups.,Three chosen BN scales vs matched late-layer control,Test the nominated tensors by changing their grouping.,good,3 seeds per arm. Match to layerwise range; superiority unestablished. Identity vs direction magnitude unresolved.,isolation_evidence.experiments.cdep1,figures/page-19.png,finding,MT162; MT163; MT212; MT213; MT216; MT217; MT218; MT219; MT220; MT221; MT222; MT223; MT224; MT225; MT226; MT227; MT228; MT229; MT230; MT231; MT232; MT233; MT234; MT235; MT236; MT237; MT238; MT239,28,14,0,14,0,0,0
20,Rescue holds; pinning stays unresolved,Check long-run rescue and the strict pinning test.,Same ResNet runs: 100 vs 250 epochs,Test whether the rescue survives longer training.,mixed,Registered UNRESOLVED-NOT-PINNED. No RESCUE-SURVIVES verdict. Raw accuracy verified; occupancy tables are recorded evidence.,isolation_evidence.experiments.ciso2,figures/page-20.png,finding,MT165,1,0,0,0,1,0,0
21,The rescue repeats in VGG,Reproduce the rescue in another architecture.,Isolate bn8 vs matched bn7 in VGG11_bn,Check whether the effect extends beyond ResNet.,good,3 seeds per arm; only100epochs. VGG tuning untested. Magnitude not separated; superiority over layerwise not established.,isolation_evidence.experiments.cvi1,figures/page-21.png,finding,MT164; MT166; MT214,3,3,0,0,0,0,0
22,VGG cut location: completed test,Test whether the best cut sits before bn8.,VGG cut ladder: tensor boundary vs balance accounts,Separate explanations that overlapped on ResNet.,mixed,"VGG11_bn/CIFAR-100, augmented, 100 epochs, shared meta-step 1e-3; nine arms × three fresh seeds 55–57; one submission. Every sweep arm has exactly two contiguous tensor groups. Cell SD and SEM are empirical across three seeds. The registered peak set uses a common 2×SE bar with a frozen prior noise floor; it is not a simultaneous confidence interval. FINAL: UNRESOLVED-TIE-WITH-22 | CARRIER-CUT-UNRESOLVED | TIE-16-19-22 | GATES-CLEAN | ALIAS-CLASS-IS-INDEX-MOD-3 | MAGNITUDE-NOT-SEPARATED | HORIZON-100-ONLY | SHARED-MS-1E-3 | NOT-A-ONE-VARIABLE-ABLATION | SIGMA-NARROW-PINNED | TRAIN-ARGMAX-DISAGREES(22) | D22-16-TIED | CLIFF-IS-A-BOUND | GAP-REPLICATES-CVG1",CORRECTIONS208; frozen cVK2 scorer; new ALICE raw logs,figures/page-22.png,finding,CVK2,1,0,0,0,1,0,0
23,MetaOptimize loses to scheduled SGD,Beat a tuned non-meta optimizer.,MetaOptimize vs SGD + momentum + cosine schedule,Check whether the method offers a practical accuracy win.,bad,C100 one selected meta recipe; C10 two alpha0+clip recipes only. Unequal search breadth. No global optimum claim.,campaign_evidence.cifar100_denominator; unaugmented_cifar10_denominator,figures/page-23.png,finding,MT014; MT015; MT016; MT017; MT018; MT019; MT020; MT155; MT215,9,7,2,0,0,0,1
